index,full_word,pt1,rest
0,सार्थकता,सार्थक,ता
1,आना,आ,ना
2,जाना,जा,ना
3,करना,कर,ना
4,खाना,खा,ना
5,पीना,पी,ना
6,सोना,सो,ना
7,उठना,उठ,ना
8,बैठना,बैठ,ना
9,चलना,चल,ना
10,दौड़ना,दौड़,ना
11,रुकना,रुक,ना
12,हँसना,हँस,ना
13,रोना,रो,ना
14,बोलना,बोल,ना
15,सुनना,सुन,ना
16,देखना,देख,ना
17,पढ़ना,पढ़,ना
18,लिखना,लिख,ना
19,सीखना,सीख,ना
20,सिखाना,सिखा,ना
21,समझना,समझ,ना
22,समझाना,समझा,ना
23,बनाना,बना,ना
24,सजाना,सजा,ना
25,जोड़ना,जोड़,ना
26,खोलना,खोल,ना
27,रखना,रख,ना
28,लेना,ले,ना
29,देना,दे,ना
30,पकाना,पका,ना
31,छीलना,छील,ना
32,धोना,धो,ना
33,पोंछना,पोंछ,ना
34,लगाना,लगा,ना
35,हटाना,हटा,ना
36,फेंकना,फेंक,ना
37,पकड़ना,पकड़,ना
38,छूना,छू,ना
39,सूंघना,सूंघ,ना
40,चखना,चख,ना
41,टहलना,टहल,ना
42,फिरना,फिर,ना
43,खेलना,खेल,ना
44,कूदना,कूद,ना
45,तैरना,तैर,ना
46,उड़ना,उड़,ना
47,नाचना,नाच,ना
48,गाना,गा,ना
49,जगना,जग,ना
50,जागना,जाग,ना
51,सोजाना,सो,जाना
52,जमना,जम,ना
53,पिघलना,पिघल,ना
54,तपना,तप,ना
55,सूखना,सूख,ना
56,भीगना,भीग,ना
57,फूलना,फूल,ना
58,मुरझाना,मुरझा,ना
59,खिलना,खिल,ना
60,लहराना,लहरा,ना
61,झूमना,झूम,ना
62,हिलना,हिल,ना
63,डोलना,डोल,ना
64,काँपना,काँप,ना
65,थरथराना,थरथरा,ना
66,ऊबना,ऊब,ना
67,मचलना,मचल,ना
68,सुस्ताना,सुस्ता,ना
69,ताकना,ताक,ना
70,झाँकना,झाँक,ना
71,झुकना,झुक,ना
72,मुड़ना,मुड़,ना
73,बदलना,बदल,ना
74,छिपना,छिप,ना
75,लिपटना,लिपट,ना
76,चिपकना,चिपक,ना
77,चमकना,चमक,ना
78,दमकना,दमक,ना
79,जगमगाना,जगमगा,ना
80,टिमटिमाना,टिमटिमा,ना
81,झिलमिलाना,झिलमिला,ना
82,चढ़ना,चढ़,ना
83,उतरना,उतर,ना
84,बढ़ना,बढ़,ना
85,घटना,घट,ना
86,मिलना,मिल,ना
87,बिखरना,बिखर,ना
88,समेटना,समेट,ना
89,लपेटना,लपेट,ना
90,तहाना,तहा,ना
91,भिगोना,भिगो,ना
92,डुबोना,डुबो,ना
93,उभरना,उभर,ना
94,रेंगना,रेंग,ना
95,गिरना,गिर,ना
96,उठाना,उठा,ना
97,खींचना,खींच,ना
98,धकेलना,धकेल,ना
99,सरकना,सरक,ना
100,फिसलना,फिसल,ना
101,लुढ़कना,लुढ़क,ना
102,बजाना,बजा,ना
103,गूंजना,गूंज,ना
104,खनकना,खनक,ना
105,खटकना,खटक,ना
106,बतियाना,बतिया,ना
107,पुकारना,पुकार,ना
108,बुलाना,बुला,ना
109,सिकुड़ना,सिकुड़,ना
110,फैलाना,फैला,ना
111,सकुचना,सकुच,ना
112,चमकाना,चमका,ना
113,मांजना,मांज,ना
114,रगड़ना,रगड़,ना
115,छिड़कना,छिड़क,ना
116,डालना,डाल,ना
117,भरना,भर,ना
118,छलकना,छलक,ना
119,उफनना,उफन,ना
120,झरना,झर,ना
121,महकना,महक,ना
122,बहना,बह,ना
123,पसरना,पसर,ना
124,जमाना,जमा,ना
125,बिछाना,बिछा,ना
126,सजना,सज,ना
127,संवरना,संवर,ना
128,निखरना,निखर,ना
129,बसना,बस,ना
130,उजड़ना,उजड़,ना
131,छाँटना,छाँट,ना
132,चुनना,चुन,ना
133,बीनना,बीन,ना
134,छानना,छान,ना
135,फटकना,फटक,ना
136,फूंकना,फूंक,ना
137,फुलाना,फुला,ना
138,फुदकना,फुदक,ना
139,फड़फड़ाना,फड़फड़ा,ना
140,सरसराना,सरसरा,ना
141,फुसफुसाना,फुसफुसा,ना
142,बुदबुदाना,बुदबुदा,ना
143,गुनगुनाना,गुनगुना,ना
144,गिनना,गिन,ना
145,मापना,माप,ना
146,डूबना,डूब,ना
147,उछलना,उछल,ना
148,थपथपाना,थपथपा,ना
149,थपकना,थपक,ना
150,सहलाना,सहला,ना
151,चहचहाना,चहचहा,ना
152,कूकना,कूक,ना
153,फाँदना,फाँद,ना
154,लाँघना,लाँघ,ना
155,मचाना,मचा,ना
156,गरजना,गरज,ना
157,बरसना,बरस,ना
158,छिटकना,छिटक,ना
159,बिलखना,बिलख,ना
160,मुस्कुराना,मुस्कुरा,ना
161,खिलखिलाना,खिलखिला,ना
162,ठुमकना,ठुमक,ना
163,हुलसना,हुलस,ना
164,चहकना,चहक,ना
165,तड़कना,तड़क,ना
166,चटकना,चटक,ना
167,फूटना,फूट,ना
168,चमचमाना,चमचमा,ना
169,कहना,कह,ना
170,बताना,बता,ना
171,जताना,जता,ना
172,दिखाना,दिखा,ना
173,विचारना,विचार,ना
174,घूमना,घूम,ना
175,उछालना,उछाल,ना
176,बरसाना,बरसा,ना
177,चिपकाना,चिपका,ना
178,घूमाना,घूमा,ना
179,रंगना,रंग,ना
180,पकड़ाना,पकड़ा,ना
181,थामना,थाम,ना
182,झपटना,झपट,ना
183,घुलना,घुल,ना
184,सनसनाना,सनसना,ना
185,लुढ़काना,लुढ़का,ना
186,इठलाना,इठला,ना
187,सिमटना,सिमट,ना
188,किलकना,किलक,ना
189,फिसलाना,फिसला,ना
190,खिसकना,खिसक,ना
191,पुस्तकालय,पुस्तक,ालय
192,खिलाड़ी,खिल,ाड़ी
193,विद्यालय,विद्या,लय
194,आँवला,आँवल,ा
195,नाशपाती,नाश,पाती
196,लीची,ली,ची
197,तरबूज़,तरबूज,़
198,खरबूज़ा,खरबूज,़ा
199,खरबूजा,खरबूज,ा
200,पपीता,पपी,ता
201,अनानास,अना,नास
202,आड़ू,आ,ड़ू
203,कटहल,क,टहल
204,सब्ज़ी,सब्ज़,ी
205,प्याज़,प्या,ज़
206,गाज़र,गा,ज़र
207,बैंगन,बैंग,न
208,लौकी,लौक,ी
209,कद्दू,क,द्दू
210,खीरा,खीर,ा
211,ककड़ी,क,कड़ी
212,पुदीना,पुदीन,ा
213,अदरक,अदर,क
214,पौधा,पौध,ा
215,कमरा,कम,रा
216,दरवाज़ा,दरवाज,़ा
217,कंबल,कं,बल
218,अलमारी,अल,मारी
219,खिलौना,खिल,ौना
220,गुड़िया,गुड़,िया
221,डमरू,डम,रू
222,बांसुरी,बां,सुरी
223,कागज़,का,गज़
224,रबर,र,बर
225,बैलगाड़ी,बैल,गाड़ी
226,कुत्ता,कु,त्ता
227,बिल्ली,बिल्,ली
228,ज़िराफ,ज़ि,राफ
229,ज़ेब्रा,ज़े,ब्रा
230,लोमड़ी,लोमड़,ी
231,गिलहरी,गिल,हरी
232,कछुआ,क,छुआ
233,बगुला,ब,गुला
234,मोरनी,मोर,नी
235,चींटी,चींट,ी
236,मकड़ी,म,कड़ी
237,मधुमक्खी,मधुमक्ख,ी
238,हमिंगबर्ड,हम,िंगबर्ड
239,मुर्गा,मुर्ग,ा
240,सारस,सार,स
241,बया,ब,या
242,चमगादड़,चमगादड,़
243,ऊदबिलाव,ऊद,बिलाव
244,बिल्ला,बिल्,ला
245,शावक,शा,वक
246,साँप,साँ,प
247,छिपकली,छिप,कली
248,केकड़ा,के,कड़ा
249,झींगा,झींग,ा
250,ऊँटनी,ऊँट,नी
