index,full_word,pt1,rest
0,लुसलुशीत,लुस,लुशीत
1,व्यासंगी,व्यास,ंगी
2,मनमोहक,मन,मोहक
3,चालणे,चाल,णे
4,विस्मयकारक,विस्मय,कारक
5,पटणे,पट,णे
6,कोडे,कोड,े
7,स्मृतिशेष,स्मृति,शेष
8,इच्छा,इच्छ,ा
9,उकळवणे,उकळ,वणे
10,नदीप्रधान,नदी,प्रधान
11,लांबवणे,लांब,वणे
12,उल्लसित,उल्लस,ित
13,उत्सुक,उत्सु,क
14,पुरणे,पुर,णे
15,लाडिक,लाड,िक
16,अशब्द,शब्द,अ
17,धबधबा,धब,धबा
18,राहण्यासाठीचा,राह,ण्यासाठीचा
19,धुणकणे,धुण,कणे
20,शोभामय,शोभा,मय
21,उठणे,उठ,णे
22,रुळणे,रुळ,णे
23,प्रकाशित,प्रकाश,ित
24,प्राणवंत,प्राण,वंत
25,एखत्यारी,एखत,यारी
26,त्रेसष्टावा,त्रेसष्ट,ावा
27,स्फुल्लिंग,स्फुल्ल,िंग
28,राजकन्या,राज,कन्या
29,साहसी,साहस,ी
30,अभूतपूर्व,भूत,पूर्व
31,जुपविणे,जुप,विणे
32,महाग,मह,ाग
33,अफाट,अफ,ाट
34,कळवळणे,कळवळ,णे
35,मोहिम,मोहि,म
36,भवन,भव,न
37,पुणेरी,पुणे,री
38,सूत्रीय,सूत्र,ीय
39,अखडणे,अखड,णे
40,महाकाय,मह,ाकाय
41,कोट्याधीश,कोट्य,आधीश
42,कल्पवृक्ष,कल्प,वृक्ष
43,जखमी,जखम,ी
44,आरोग्यदायक,आरोग्य,दायक
45,गोंजारणे,गोंजार,णे
46,फांदी,फांद,ी
47,सूर्यमय,सूर्य,मय
48,रुबी,रुब,ी
49,दाखवणे,दाख,वणे
50,लोककथा,लोक,कथा
51,पाकीटमार,पाकीट,मार
52,सुकर,सु,कर
53,शहरी,शहर,ी
54,बिनशेपटीचा,शेपटी,बिनचा
55,प्रवेशनीय,प्रवेश,नीय
56,ऐश्वर्यपूर्ण,ऐश्वर्य,पूर्ण
57,उघडणे,उघड,णे
58,गतावधिक,गत,आवधिक
59,उंचावणे,उंच,आवणे
60,उत्सवमय,उत्सव,मय
61,समुद्रकिनारा,समुद्र,किनारा
62,प्रतिगामी,गामी,प्रति
63,रंगीबेरंगी,रंग,ीबेरंगी
64,घडवणे,घड,वणे
65,बसणे,बस,णे
66,मुक्तमंच,मुक्त,मंच
67,धावणे,धाव,णे
68,प्रेरित,प्रेर,ित
69,शौर्यपूर्ण,शौर्य,पूर्ण
70,ओळखणे,ओळख,णे
71,कुत्सिक,कुत्स,िक
72,फेकणे,फेक,णे
73,अधोगतीकारक,गती,अधोकारक
74,आणणे,आण,णे
75,उत्साही,उत्साह,ी
76,शिकवणे,शिक,वणे
77,थांबवणे,थांब,वणे
78,सांभाळणे,सांभाळ,णे
79,रंगांचा,रंग,ांचा
80,बनणे,बन,णे
81,नासावणे,नासा,वणे
82,मनोहारी,मन,ओहारी
83,दिवा,दिव,ा
84,जलमय,जल,मय
85,कल्पनिक,कल्प,निक
86,फळदार,फळ,दार
87,शुभ्र,शुभ,्र
88,सुमधुर,मधुर,सु
89,कन्या,कन्य,ा
90,रोवणे,रोव,णे
91,सक्रिय,सक्र,िय
92,महत्त्वपूर्ण,महत्त्व,पूर्ण
93,पचवलेला,पच,वलेला
94,किंचाळणे,किंचाळ,णे
95,मोलाचा,मोल,ाचा
96,हटवादी,हट,वादी
97,अंडे,अंड,े
98,सखल,सख,ल
99,भक्तिशून्य,भक्ति,शून्य
100,लक्षणीय,लक्षण,ीय
101,दीप्त,दीप,्त
102,वाढणे,वाढ,णे
